,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,Company,Mileage(km/kg),Engine(CC),Power(bhp)
53,Delhi,2013,65650,Diesel,Manual,First,5,,3.85,MARUTI,28.4,1248,74
54,Chennai,2015,54000,Petrol,Manual,Third,5,,3.6,HYUNDAI,18.9,1197,82
55,Kolkata,2015,39000,Petrol,Manual,First,5,,3.99,VOLKSWAGEN,15.04,1598,103.2
56,Kochi,2017,16542,Petrol,Manual,First,5,,3.3,RENAULT,25.17,799,53.3
57,Kolkata,2010,32000,Petrol,Manual,First,5,,2.07,HYUNDAI,20.36,1197,78.9
58,Hyderabad,2010,121812,Diesel,Automatic,First,5,,7.75,NISSAN,13.29,1995,147.6
59,Hyderabad,2010,39300,Petrol,Manual,First,5,,2.25,MARUTI,18.2,998,67.1
60,Mumbai,2017,22000,Diesel,Manual,First,8,19.34 Lakh,16.5,TOYOTA,13.68,2393,147.8
61,Bangalore,2010,72000,Diesel,Manual,First,5,,2.75,FORD,20,1399,68
62,Delhi,2015,58000,Petrol,Automatic,First,5,,26.7,MERCEDES-BENZ,11.74,1796,186
63,Pune,2011,65000,Diesel,Manual,Second,5,,10,MERCEDES-BENZ,15.8,2148,170
64,Chennai,2016,178000,Diesel,Manual,First,5,,2.5,TATA,25,1396,69
65,Jaipur,2012,65664,Diesel,Automatic,First,5,,13.5,AUDI,16.55,1968,140
66,Mumbai,2007,63000,Petrol,Automatic,Second,5,,1.85,HONDA,16.4,1497,78
67,Coimbatore,2019,15369,Diesel,Automatic,First,5,49.14 Lakh,35.67,MERCEDES-BENZ,0,1950,194
68,Pune,2016,63000,Diesel,Manual,First,7,,8.15,MARUTI,24.52,1248,88.5
69,Mumbai,2018,13000,Diesel,Manual,First,5,11.81 Lakh,10.5,HYUNDAI,22.1,1396,88.7
70,Mumbai,2008,73000,Petrol,Automatic,First,5,,14.5,PORSCHE,8.5,4806,500
71,Mumbai,2015,55729,Diesel,Manual,First,7,,9.65,MAHINDRA,15.1,2179,140
72,Kochi,2012,45178,Petrol,Automatic,First,5,,3.48,HYUNDAI,16.95,1197,78.9
73,Kochi,2015,56066,Diesel,Manual,First,5,16.65 Lakh,6.92,NISSAN,19.64,1461,108.5
74,Coimbatore,2016,37300,Petrol,Automatic,Second,5,,6.46,HONDA,16.5,1198,86.8
75,Delhi,2014,56000,Diesel,Automatic,Second,5,,29.5,AUDI,18.53,1968,187.74
76,Jaipur,2008,111111,Diesel,Manual,First,5,,2,FORD,17.8,1399,NULL
77,Chennai,2006,230000,Petrol,Manual,Third,8,,4.5,TOYOTA,12.4,1998,132
78,Hyderabad,2012,104000,Diesel,Manual,First,7,,11.75,TOYOTA,12.8,2494,102
79,Hyderabad,2005,87591,Petrol,Manual,First,5,,1.3,HYUNDAI,0,1086,NULL
80,Jaipur,2012,95100,Diesel,Manual,First,5,,3.75,MARUTI,22.9,1248,74
81,Pune,2017,70000,Petrol,Manual,First,5,6.67 Lakh,4.5,TATA,17.57,1193,88.7
82,Kochi,2016,54944,Petrol,Manual,First,5,,4.82,HONDA,18,1198,86.7
83,Hyderabad,2012,70337,Diesel,Manual,First,5,,2.8,FORD,20,1399,68
84,Jaipur,2013,99638,Diesel,Manual,First,5,,3.11,MARUTI,23.2,1248,73.94
85,Delhi,2009,52000,Petrol,Manual,First,5,,3.25,HONDA,17.8,1497,117.3
86,Delhi,2011,75000,Diesel,Automatic,Second,5,,13.9,BMW,16.73,1995,218
87,Pune,2009,95980,Petrol,Manual,First,5,,2.25,HYUNDAI,20.36,1197,78.9
88,Bangalore,2016,16000,Petrol,Manual,First,5,,5.75,HYUNDAI,18.9,1197,82
89,Hyderabad,2007,73745,Petrol,Manual,First,5,,2.1,HYUNDAI,17,1086,NULL
90,Mumbai,2016,18949,Petrol,Manual,First,5,,5,HONDA,17.8,1198,86.7
91,Delhi,2014,107000,Diesel,Manual,First,7,,16.5,TOYOTA,13,2982,168.5
92,Coimbatore,2018,48367,Diesel,Automatic,First,5,,39.58,AUDI,17.68,1968,174.33
93,Delhi,2013,57000,Diesel,Manual,First,5,,5.5,FORD,22.7,1498,89.84
94,Delhi,2014,58000,Diesel,Manual,First,7,,8.1,MAHINDRA,15.1,2179,140
95,Kolkata,2015,30000,Diesel,Manual,First,5,,3.5,HONDA,25.8,1498,98.6
96,Kolkata,2013,34212,Diesel,Manual,First,5,,2.79,VOLKSWAGEN,22.07,1199,73.9
97,Ahmedabad,2010,70002,Diesel,Manual,First,5,,3.45,HYUNDAI,16.2,1493,110
98,Bangalore,2016,62000,Petrol,Manual,First,5,,4.45,MARUTI,18.9,998,67.1
99,Delhi,2010,62001,Petrol,Manual,First,5,,2.65,VOLKSWAGEN,15.26,1598,103.5
100,Pune,2011,78958,Diesel,Manual,Second,5,,3.8,HYUNDAI,23,1396,90
101,Mumbai,2014,30180,Petrol,Manual,First,5,,4.65,HYUNDAI,18.5,1197,82.85
102,Pune,2017,32851,Petrol,Manual,First,7,6.45 Lakh,3.95,DATSUN,19.83,1198,67
103,Kolkata,2010,30000,Diesel,Automatic,First,5,,9.8,AUDI,14.94,2967,241.4
104,Pune,2009,66000,Petrol,Manual,Second,5,,2.7,HYUNDAI,17,1197,80
105,Coimbatore,2010,93850,Petrol,Manual,First,5,,2.41,MARUTI,14,796,35
106,Ahmedabad,2014,53000,Petrol,Manual,First,5,6.41 Lakh,3.9,TOYOTA,17.71,1197,78.9
107,Hyderabad,2011,78000,Diesel,Automatic,Second,5,,24,JAGUAR,14.74,2993,270.9
108,Delhi,2012,65000,Diesel,Manual,Second,7,,5.75,MAHINDRA,16,2179,140
109,Kolkata,2014,40000,Diesel,Automatic,First,5,,5.25,HYUNDAI,22.32,1582,126.32
110,Mumbai,2017,30000,Diesel,Automatic,First,7,27 Lakh,19.25,TOYOTA,11.36,2755,171.5
111,Coimbatore,2017,38053,Petrol,Manual,First,5,5.13 Lakh,3.91,MARUTI,15.1,1196,73
112,Bangalore,2014,25500,Petrol,Manual,First,4,,2.15,TATA,25.4,624,37.5
113,Mumbai,2015,56087,Diesel,Automatic,First,5,54.43 Lakh,20.75,BMW,22.69,1995,190
114,Delhi,2010,71088,Petrol,Manual,First,5,,3.35,HONDA,13.5,1799,130
115,Ahmedabad,2014,55000,Diesel,Manual,First,7,,11.11,TOYOTA,12.99,2494,100.6
116,Bangalore,2014,32700,Diesel,Automatic,First,5,,20,VOLVO,23.3,1984,150
117,Coimbatore,2016,39882,Petrol,Automatic,First,5,9.51 Lakh,6.55,NISSAN,19.15,1198,75.94
118,Mumbai,2009,128000,Petrol,Automatic,First,5,,7,BMW,10.8,2497,215
119,Mumbai,2016,55000,Diesel,Manual,First,5,9.96 Lakh,7.5,MARUTI,24.3,1248,88.5
120,Mumbai,2005,102000,Petrol,Manual,Second,5,,0.85,HYUNDAI,17,1086,NULL
121,Pune,2014,53753,Diesel,Automatic,Second,5,,16.75,MERCEDES-BENZ,15,2143,107.3
122,Kolkata,2018,10250,Diesel,Manual,First,5,14.44 Lakh,10.95,HYUNDAI,22,1582,126.2
123,Pune,2011,43874,Petrol,Manual,First,5,,2.45,MARUTI,18.9,998,67.1
124,Coimbatore,2017,32684,Petrol,Automatic,First,4,,3.23,TATA,21.9,624,37.48
125,Kolkata,2014,42000,Diesel,Manual,First,8,,7.75,MAHINDRA,12.05,2179,120
126,Kolkata,2009,28352,Petrol,Automatic,First,5,,9.35,MERCEDES-BENZ,11.7,1796,178
127,Pune,2013,89900,CNG,Manual,First,5,,3.25,MARUTI,26.6,998,58.16
128,Bangalore,2007,47700,Petrol,Manual,Second,5,,5.25,HONDA,10.8,2354,152
129,Pune,2015,55000,Diesel,Automatic,First,5,,7.25,VOLKSWAGEN,21.21,1498,103.2
130,Kochi,2017,44285,Petrol,Manual,First,5,,7.47,MARUTI,20.73,1373,91.1
131,Jaipur,2016,54000,Diesel,Automatic,First,7,,13.25,MAHINDRA,16,2179,140
132,Coimbatore,2016,30232,Petrol,Manual,First,5,,5.81,MARUTI,21.1,1197,85.8
133,Hyderabad,2014,88500,Petrol,Manual,First,5,4.53 Lakh,2.6,MARUTI,24.07,998,67.1
134,Kolkata,2017,13372,Petrol,Automatic,First,2,95.04 Lakh,54,MERCEDES-BENZ,19,2996,362.07
135,Kochi,2019,12645,Petrol,Automatic,First,5,13.49 Lakh,11.5,HYUNDAI,17,1591,121.3
136,Chennai,2010,94385,Petrol,Manual,Second,5,,1.6,MARUTI,19.7,796,46.3
137,Coimbatore,2015,31821,Diesel,Automatic,First,5,,17.22,BMW,20.58,1995,143
138,Mumbai,2015,12000,Petrol,Automatic,First,5,,6,HONDA,19,1199,88.7
139,Delhi,2012,88578,Petrol,Manual,First,5,,3.95,HONDA,13.5,1799,130
140,Kochi,2014,44965,Diesel,Automatic,First,5,,17.95,MERCEDES-BENZ,19.27,2143,170
141,Kolkata,2014,45044,Diesel,Manual,First,5,,3.7,HONDA,25.8,1498,98.6
142,Kochi,2016,34204,Petrol,Manual,First,5,,5.43,MARUTI,22,1197,81.8
143,Kochi,2008,80759,Petrol,Manual,Third,5,,1.67,HYUNDAI,17,1086,NULL
144,Coimbatore,2012,91235,Diesel,Manual,First,7,,13.49,TOYOTA,11.5,2982,171
145,Pune,2014,38800,Petrol,Manual,First,5,,2.85,CHEVROLET,18.6,1199,76.8
146,Chennai,2013,83000,Diesel,Manual,First,5,,4.75,SKODA,21.14,1498,103.52
147,Kochi,2018,41283,Petrol,Manual,First,5,,9.9,MARUTI,20.73,1373,91.1
148,Mumbai,2013,23000,Petrol,Automatic,First,4,1.28 Cr,37,AUDI,11.05,2894,444
149,Mumbai,2014,48000,Diesel,Automatic,First,5,60.88 Lakh,26.5,BMW,21.76,1995,190
150,Coimbatore,2015,48214,Diesel,Automatic,First,5,,23.32,AUDI,17.11,1968,174.33
151,Chennai,2016,35000,Diesel,Manual,First,5,,6.25,MARUTI,22.9,1248,74
152,Kolkata,2010,35277,Petrol,Automatic,First,5,,30,MERCEDES-BENZ,7.81,5461,362.9
153,Coimbatore,2016,54620,Diesel,Automatic,First,5,,9.86,SKODA,21.66,1498,103.52
154,Pune,2012,136997,Diesel,Automatic,First,5,,8.5,SKODA,17.2,1968,138.1
155,Kochi,2019,14322,Petrol,Manual,First,5,,4.23,HYUNDAI,21.1,814,55.2
156,Jaipur,2012,65634,Diesel,Manual,First,5,,3.5,VOLKSWAGEN,22.07,1199,73.9
157,Kolkata,2016,6000,Petrol,Manual,First,5,,2.5,DATSUN,20.63,1198,67.06
158,Kolkata,2013,33280,Petrol,Manual,First,5,,2.39,HONDA,19.4,1198,86.8
159,Delhi,2013,29000,Petrol,Automatic,First,5,,11.25,MERCEDES-BENZ,14.8,1595,120.7
160,Kochi,2015,42831,Diesel,Manual,First,5,,7.11,HONDA,26,1498,98.6
161,Ahmedabad,2016,90000,Diesel,Manual,First,7,,10.9,TOYOTA,12.99,2494,100.6
162,Ahmedabad,2017,24005,Petrol,Manual,First,5,,6.2,MARUTI,20.4,1197,81.8
163,Mumbai,2012,32792,Diesel,Manual,First,7,,7.9,MAHINDRA,15.1,2179,140
164,Kochi,2014,147898,Diesel,Manual,First,5,,4.42,FORD,22.7,1498,89.84
165,Mumbai,2012,131765,Diesel,Manual,First,7,,13.5,TOYOTA,13,2982,168.5
166,Chennai,2013,65000,Diesel,Automatic,First,5,,6.25,VOLKSWAGEN,21.5,1498,108.5
167,Jaipur,2010,66123,Diesel,Manual,Second,5,,2.1,FORD,20,1399,68
168,Mumbai,2015,41000,Diesel,Automatic,First,5,,45,BMW,15.3,2993,258
169,Coimbatore,2017,23550,Diesel,Automatic,First,5,,33.66,MERCEDES-BENZ,19.27,2143,167.62
170,Bangalore,2012,45000,Petrol,Manual,Second,5,,3.65,HONDA,19.4,1198,86.8
171,Delhi,2013,60000,Petrol,Manual,First,5,,2.75,HYUNDAI,20.36,1197,78.9
172,Bangalore,2016,44414,Diesel,Automatic,First,5,,42.5,MERCEDES-BENZ,17.9,2143,170
173,Kolkata,2019,1000,Petrol,Manual,First,5,7.39 Lakh,6.5,HYUNDAI,18.9,1197,81.86
174,Mumbai,2012,62500,Diesel,Automatic,Second,5,,19,AUDI,17.68,1968,174.33
175,Mumbai,2013,21000,Petrol,Automatic,Second,5,,4.45,VOLKSWAGEN,14.4,1598,103.6
176,Jaipur,2017,8525,Diesel,Automatic,Second,5,,23,MINI,16.6,1998,112
177,Bangalore,2014,29000,Diesel,Manual,First,5,,8.35,HYUNDAI,22.54,1396,88.73
178,Mumbai,2014,40000,Diesel,Automatic,First,5,,22.95,AUDI,17.68,1968,174.33
179,Jaipur,2012,88000,Diesel,Manual,First,5,,1.5,CHEVROLET,25.44,936,57.6
180,Kochi,2012,53537,Petrol,Automatic,First,5,,6.89,SKODA,13.7,1798,157.75
181,Chennai,2006,216000,Diesel,Manual,Second,5,,1.45,FORD,17.8,1399,68
182,Hyderabad,2014,51000,Diesel,Automatic,First,5,69.47 Lakh,33.5,BMW,22.48,1995,190
183,Jaipur,2007,118500,Petrol,Manual,First,5,,1.25,CHEVROLET,12.9,1598,102.5
184,Hyderabad,2012,63000,Diesel,Manual,First,5,,4.2,VOLKSWAGEN,22.07,1199,73.9
185,Mumbai,2015,25000,Diesel,Manual,First,8,,6.75,RENAULT,19.98,1461,108.5
186,Bangalore,2014,37382,Diesel,Automatic,First,5,,32,MERCEDES-BENZ,13,2143,201.1
187,Kochi,2017,24773,Petrol,Manual,First,5,8.78 Lakh,7.5,MARUTI,21.4,1197,83.1
188,Delhi,2012,62000,Diesel,Manual,First,5,,4.6,HYUNDAI,22.32,1582,126.32
189,Kochi,2017,52340,Petrol,Manual,First,5,,4.04,HYUNDAI,19.81,1086,68.05
190,Kochi,2016,56739,Diesel,Manual,First,7,,10.31,MAHINDRA,15.4,1997,120
191,Coimbatore,2018,36091,Diesel,Automatic,First,5,,55.76,LAND,12.7,2179,187.7
192,Chennai,2010,120000,Diesel,Manual,First,5,,2.6,FORD,20,1399,68
193,Mumbai,2016,33000,Diesel,Manual,First,7,12.74 Lakh,8.5,MARUTI,25.47,1248,88.5
194,Ahmedabad,2007,60006,Petrol,Manual,First,,,2.95,HONDA,0,NAN,NAN
195,Kolkata,2014,52000,Diesel,Manual,First,5,,3.5,HONDA,25.8,1498,98.6
196,Jaipur,2015,43571,Petrol,Manual,First,5,,3.55,HYUNDAI,20.36,1197,78.9
197,Kolkata,2013,50000,Diesel,Manual,First,5,,3.25,HONDA,25.8,1498,98.6
198,Hyderabad,2008,113000,Diesel,Manual,First,5,,4.5,SKODA,17.5,1896,106
199,Delhi,2014,90000,Diesel,Manual,First,5,,5.35,RENAULT,19.87,1461,83.8
200,Chennai,2017,29000,Diesel,Manual,Second,7,10.52 Lakh,6.5,MAHINDRA,17.45,1493,100
201,Mumbai,2016,20000,Diesel,Manual,First,5,11.98 Lakh,9,MARUTI,24.3,1248,88.5
202,Kochi,2016,61012,Petrol,Manual,First,5,,6,HYUNDAI,18.6,1197,81.83
203,Jaipur,2009,87459,Petrol,Manual,First,5,,2.75,SKODA,14.7,1390,85
204,Pune,2010,70500,Petrol,Manual,First,5,,1.5,TATA,15.64,1193,64.1
205,Delhi,2015,64103,Diesel,Automatic,First,5,,19.9,AUDI,15.73,1968,174.33
206,Mumbai,2014,76000,Petrol,Automatic,First,5,,10,SKODA,14.7,1798,177.5
207,Delhi,2014,104000,Diesel,Manual,First,5,,3,TOYOTA,23.59,1364,67.06
208,Kolkata,2010,42001,Petrol,Manual,First,,,2.11,MARUTI,16.1,NAN,NAN
209,Kochi,2014,37245,Petrol,Automatic,First,5,,11.96,MERCEDES-BENZ,14.8,1595,120.7
210,Kolkata,2013,45000,Diesel,Manual,First,5,8.54 Lakh,3.25,HONDA,27.4,1498,98.6
211,Jaipur,2012,117837,Diesel,Manual,Second,5,,4.75,HYUNDAI,22.32,1582,126.32
212,Mumbai,2014,30000,Diesel,Manual,First,5,,5.95,RENAULT,20.46,1461,83.8
213,Delhi,2015,27057,Petrol,Manual,Second,5,,8.15,HYUNDAI,15.29,1591,121.3
214,Mumbai,2016,8500,Petrol,Automatic,First,5,,4.22,MARUTI,20.51,998,67
215,Kolkata,2010,30500,Petrol,Automatic,First,5,,10.5,MERCEDES-BENZ,11.74,1796,186
216,Delhi,2012,56000,Diesel,Automatic,First,5,,45,AUDI,11.8,2967,246.7
217,Pune,2012,44000,Petrol,Manual,Second,5,,2.9,HYUNDAI,19.81,1086,68.05
218,Mumbai,2017,10500,Petrol,Automatic,First,5,,8.9,SKODA,14.3,1598,103.52
219,Hyderabad,2017,26000,Petrol,Automatic,First,5,33.58 Lakh,26,SKODA,14.67,1798,177.46
220,Coimbatore,2018,25166,Petrol,Manual,First,5,,8.22,HYUNDAI,17.19,1197,81.86
221,Kolkata,2014,64000,Diesel,Manual,Second,5,,3.5,HONDA,25.8,1498,98.6
222,Chennai,2004,61000,Petrol,Manual,Second,5,,1.25,MARUTI,18.9,998,67.1
223,Hyderabad,2013,107000,Diesel,Manual,First,5,9.12 Lakh,3.7,MAHINDRA,21.03,1461,65
224,Coimbatore,2018,29161,Diesel,Automatic,First,5,,39.41,MERCEDES-BENZ,19.27,2143,167.62
225,Kolkata,2013,32000,Petrol,Manual,First,5,5.29 Lakh,2.65,MARUTI,22.5,998,67.04
226,Coimbatore,2015,46173,Diesel,Manual,Second,5,,8.92,NISSAN,19.01,1461,108.5
227,Delhi,2013,47000,Diesel,Manual,First,5,,4.1,MARUTI,17.8,1248,NULL
228,Kochi,2017,26327,Petrol,Automatic,First,4,44.28 Lakh,35.67,MINI,16.82,1998,189.08
229,Bangalore,2015,70436,Diesel,Manual,First,,,3.6,FORD,0,1498,99
230,Jaipur,2007,200000,Diesel,Manual,Second,5,,0.85,TATA,17.2,1396,53.5
231,Kochi,2016,60813,Petrol,Manual,Second,5,,3.32,CHEVROLET,18.6,1199,76.8
232,Mumbai,2012,45000,Diesel,Manual,First,5,,3.6,VOLKSWAGEN,22.07,1199,73.9
233,Hyderabad,2016,64000,Diesel,Manual,First,5,,6.8,MARUTI,22.9,1248,74
234,Kolkata,2012,41284,Diesel,Manual,First,5,,2.5,FORD,20,1399,68.05
235,Kochi,2019,14165,Diesel,Automatic,First,7,20.74 Lakh,19.64,TOYOTA,11.36,2755,171.5
236,Mumbai,2011,67000,Diesel,Automatic,Second,7,,7,HYUNDAI,11.72,2199,194.3
237,Kolkata,2011,32572,Petrol,Manual,First,5,11.74 Lakh,3.87,HONDA,17.4,1497,117.3
238,Kochi,2018,14960,Petrol,Manual,First,5,,6.27,HYUNDAI,18.6,1197,81.83
239,Kochi,2015,55980,Diesel,Automatic,First,5,,18.12,MERCEDES-BENZ,19.27,2143,167.62
240,Mumbai,2013,74000,Diesel,Manual,First,5,,2.65,CHEVROLET,25.44,936,57.6
241,Kochi,2015,56847,Diesel,Manual,First,5,,7.2,HYUNDAI,22.54,1396,88.73
242,Coimbatore,2015,121374,Diesel,Manual,First,7,,14.3,TOYOTA,12.99,2494,100.6
243,Chennai,2013,52000,Diesel,Manual,First,7,,6.9,MARUTI,20.77,1248,88.76
244,Mumbai,2014,118000,Diesel,Manual,First,7,,10.75,TOYOTA,12.8,2494,102
245,Mumbai,2007,72000,Petrol,Manual,Third,5,,0.95,HYUNDAI,17,1086,NULL
246,Kochi,2016,33915,Petrol,Manual,First,5,,8.09,HONDA,17.8,1497,117.3
247,Ahmedabad,2014,82002,Diesel,Automatic,First,5,,18.5,BMW,17.05,1995,184
248,Mumbai,2017,33000,Diesel,Manual,First,5,,4.75,HYUNDAI,24,1120,70
249,Chennai,2016,34000,Diesel,Manual,First,5,,8.45,MARUTI,28.09,1248,88.5
250,Kolkata,2012,55000,Diesel,Manual,First,5,,3.5,SKODA,20.5,1598,103.6
251,Kochi,2006,160538,Diesel,Manual,First,5,,1.8,HYUNDAI,13.1,1493,82
252,Jaipur,2014,60000,Diesel,Manual,Second,5,,3.7,VOLKSWAGEN,19.91,1498,103.6
253,Coimbatore,2017,49575,Petrol,Manual,First,5,,7.17,HONDA,18.7,1199,88.7
254,Jaipur,2010,83000,Petrol,Manual,First,5,,1.75,HYUNDAI,19.81,1086,68.05
255,Kochi,2018,51346,Diesel,Automatic,First,5,,21.99,HYUNDAI,16.38,1995,183
256,Pune,2017,43000,Diesel,Manual,First,7,25.52 Lakh,18.65,TOYOTA,13.68,2393,147.8
257,Jaipur,2011,35000,Petrol,Manual,Third,5,,1.85,MARUTI,19.7,796,35
258,Coimbatore,2017,27872,Petrol,Manual,Second,5,,5.95,MARUTI,20.4,1197,81.8
259,Mumbai,2014,16514,Petrol,Manual,First,5,,3.75,HYUNDAI,18.9,1197,82
260,Pune,2012,120000,Diesel,Manual,First,5,,3.75,MARUTI,22.9,1248,74
261,Hyderabad,2008,143275,Diesel,Manual,First,5,14.07 Lakh,2.6,HYUNDAI,22,1582,126.2
262,Hyderabad,2006,99000,Petrol,Manual,First,5,,1.75,HYUNDAI,0,1086,NULL
263,Mumbai,2010,52000,Petrol,Manual,First,5,,2.8,HYUNDAI,17,1197,80
264,Coimbatore,2017,29819,Diesel,Automatic,First,5,95.13 Lakh,61.29,MERCEDES-BENZ,11.57,2987,254.79
265,Bangalore,2014,57000,Diesel,Manual,Second,5,,18,MERCEDES-BENZ,15.8,2148,170
266,Hyderabad,2014,88500,Diesel,Manual,First,5,,4.35,MARUTI,23.2,1248,73.94
267,Bangalore,2016,28000,Diesel,Manual,First,5,,13.75,HYUNDAI,19.67,1582,126.2
268,Pune,2010,67000,Petrol,Manual,First,5,,2,MARUTI,19,998,66.1
269,Delhi,2016,26000,Diesel,Manual,First,5,,10,RENAULT,19.64,1461,108.45
270,Delhi,2010,120000,Diesel,Manual,First,5,,1.65,FIAT,17.8,1248,76
271,Coimbatore,2017,51982,Diesel,Automatic,First,5,,45.77,BMW,16.55,2993,258
272,Bangalore,2010,36000,Petrol,Manual,Second,5,,3.25,HYUNDAI,20.36,1197,78.9
273,Pune,2016,47000,Diesel,Manual,First,7,,12.8,TOYOTA,12.8,2494,102
274,Mumbai,2002,60000,Petrol,Manual,Third,5,,0.55,MARUTI,17.3,993,60
275,Hyderabad,2018,31025,Diesel,Manual,First,5,,7.15,MARUTI,28.4,1248,74
